用户id,金币余额,绿币余额,ad_name,通用奖励翻倍原因,累计游戏场次,reward
1.16488E+18,102000,4.86,ad_video_details_powerup,,9,"金币:0,绿币:0.2"
1.16493E+18,180000,1.18,ad_video_wild,,2,"金币:undefined,绿币:0.04"
1.16492E+18,740000,2.81,ad_video_starfish,,0,"金币:100000,绿币:0"
1.16414E+18,640000,2.55,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.22"
1.16482E+18,1140000,2.51,ad_video_popup_bonus,任务奖励,2,"金币:undefined,绿币:0.05"
1.16452E+18,540000,2.1,ad_video_starfish,,2,"金币:0,绿币:0.28"
1.16268E+18,640000,1.47,ad_video_wild,,2,"金币:0,绿币:0.24"
1.16469E+18,721000,1.61,ad_video_popup_bonus,礼物-在线奖励,1,"金币:undefined,绿币:0.01"
1.16481E+18,540000,3.43,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.05"
1.16481E+18,540000,1.47,ad_video_popup_bonus,任务奖励,1,"金币:undefined,绿币:0.14"
1.16363E+18,540000,2.14,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.65"
1.16479E+18,740000,2.25,ad_video_starfish,,2,"金币:undefined,绿币:0.02"
1.1647E+18,280000,1.46,ad_video_wild,,1,"金币:undefined,绿币:0.04"
1.16426E+18,4820000,0.25,ad_video_wild,,4,"金币:0,绿币:2"
1.16323E+18,640000,1.44,ad_video_starfish,,2,"金币:undefined,绿币:0.04"
1.16272E+18,540000,1.05,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.03"
1.16325E+18,740000,2.05,ad_video_popup_bonus,礼物-在线奖励,1,"金币:0,绿币:0.23"
1.16322E+18,10540000,1.17,ad_video_popup_bonus,任务奖励,1,"金币:5000,绿币:0"
1.16323E+18,520000,0,ad_video_wild,,2,"金币:undefined,绿币:0.03"
1.16321E+18,2540000,0.41,ad_video_popup_bonus,任务奖励,1,"金币:0,绿币:0.71"
1.16324E+18,330000,2.01,ad_video_popup_bonus,任务奖励,0,"金币:0,绿币:0.58"
1.16293E+18,540000,1.09,ad_video_starfish,,2,"金币:0,绿币:0.74"
1.16317E+18,640000,1.23,ad_video_starfish,,0,"金币:100000,绿币:0"
1.16324E+18,640000,1.09,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.4"
1.16251E+18,540000,1.06,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.03"
1.16302E+18,540000,1.33,ad_video_wild,,2,"金币:0,绿币:0.65"
1.16302E+18,650000,1.71,ad_video_cashgame_num,,2,"金币:0,绿币:1"
1.16298E+18,940000,1.37,ad_video_popup_bonus,任务奖励,0,"金币:undefined,绿币:0.03"
1.16305E+18,740000,1.51,ad_video_starfish,,2,"金币:undefined,绿币:0.05"
1.16289E+18,940000,1.06,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.02"
1.16306E+18,640000,0.41,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.27"
1.16305E+18,640000,0.89,ad_video_gift_ad,,1,"金币:0,绿币:0.27"
1.16272E+18,1043000,3.61,ad_video_starfish,,2,"金币:500000,绿币:0"
1.1632E+18,540000,1.73,ad_video_cashgame_num,,1,"金币:5000,绿币:0"
1.16318E+18,680000,1.14,ad_video_popup_bonus,标记海星,3,"金币:undefined,绿币:0.05"
1.16318E+18,540000,1.38,ad_video_details_bingo,,1,"金币:undefined,绿币:0.05"
1.16284E+18,940000,1.95,ad_video_checkin_double,,0,"金币:0,绿币:0.99"
1.16274E+18,1143000,2.91,ad_video_popup_bonus,礼物-在线奖励,2,"金币:5000,绿币:0"
1.16277E+18,680000,1.49,ad_video_popup_bonus,礼物-在线奖励,2,"金币:undefined,绿币:0.04"
1.16322E+18,640000,1.46,ad_video_starfish,,2,"金币:undefined,绿币:0.04"
1.16319E+18,180000,1.31,ad_video_wild,,2,"金币:0,绿币:0.75"
1.16321E+18,540000,0.82,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.04"
1.16318E+18,1040000,1.76,ad_video_popup_bonus,礼物-在线奖励,0,"金币:undefined,绿币:0.14"
1.16281E+18,43000,6.99,ad_video_starfish,,0,"金币:0,绿币:0.78"
1.16305E+18,283000,2.86,ad_video_wild,,3,"金币:undefined,绿币:0.02"
1.16305E+18,740000,1.31,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.61"
1.16307E+18,540000,3.13,ad_video_popup_bonus,礼物-在线奖励,1,"金币:undefined,绿币:0.03"
1.16286E+18,310000,2.05,ad_video_gift_ad,,5,"金币:undefined,绿币:0.05"
1.16286E+18,540000,2.17,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.22"
1.1633E+18,180000,1.45,ad_video_popup_bonus,任务奖励,2,"金币:0,绿币:0.62"
1.16321E+18,640000,0.97,ad_video_wild,,2,"金币:undefined,绿币:0.04"
1.1633E+18,540000,1.51,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.99"
1.16329E+18,540000,2.34,ad_video_starfish,,2,"金币:undefined,绿币:0.04"
1.16304E+18,393000,2.35,ad_video_popup_bonus,标记海星,3,"金币:0,绿币:0.59"
1.16273E+18,1043000,7.85,ad_video_details_powerup,,0,"金币:0,绿币:0.26"
1.16283E+18,280000,1.97,ad_video_details_bingo,,0,"金币:0,绿币:0.7"
1.16305E+18,940000,2.03,ad_video_popup_bonus,任务奖励,0,"金币:0,绿币:1"
1.16292E+18,283000,0.29,ad_video_starfish,,5,"金币:0,绿币:0.49"
1.16305E+18,640000,2.27,ad_video_cashgame_num,,1,"金币:0,绿币:0.21"
1.16268E+18,640000,2.42,ad_video_details_powerup,,0,"金币:undefined,绿币:0.03"
1.16334E+18,540000,0.39,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.99"
1.16334E+18,640000,1.2,ad_video_popup_bonus,标记海星,2,"金币:100000,绿币:0"
