用户id,金币余额,绿币余额,广告场景,通用广告奖励类型,累计游戏场次,变化量,资源类型
1.16298E+18,758000,1.81,ad_video_starfish,,3,1.53,绿币
1.16452E+18,640000,1.6,ad_video_popup_bonus,礼物-在线奖励,1,1.5,绿币
1.16321E+18,280000,1.71,ad_video_wild,,1,0.99,绿币
1.16453E+18,940000,2.53,ad_video_starfish,,1,1.97,绿币
1.16489E+18,693000,2.72,ad_video_popup_bonus,任务奖励,3,2.48,绿币
1.16489E+18,540000,1.68,ad_video_popup_bonus,标记海星,2,1.58,绿币
1.16417E+18,3040000,1.13,ad_video_cashgame_num,,2,20000,金币
1.16393E+18,683000,2.85,ad_video_cashgame_num,,2,2.55,绿币
1.16265E+18,480000,0,ad_video_wild,,1,-40000,金币
1.16262E+18,1540000,0.51,ad_video_popup_bonus,任务奖励,1,0.51,绿币
1.16351E+18,640000,1.32,ad_video_popup_bonus,礼物-在线奖励,1,1.32,绿币
1.1632E+18,500000,1.51,ad_video_wild,,3,1.19,绿币
1.16308E+18,580000,0.74,ad_video_wild,,2,0.64,绿币
1.16312E+18,280000,0,ad_video_wild,,1,20000,金币
1.16325E+18,740000,1.19,ad_video_starfish,,2,1.19,绿币
1.1633E+18,1140000,1.48,ad_video_starfish,,2,1.26,绿币
1.16327E+18,540000,0.3,ad_video_wild,,2,0.29,绿币
1.16273E+18,1780000,4.82,ad_video_wild,,1,1.17,绿币
1.16323E+18,740000,1,ad_video_popup_bonus,标记海星,1,1,绿币
1.16343E+18,5580000,1.44,ad_video_popup_bonus,标记海星,3,1.34,绿币
1.16339E+18,540000,1.48,ad_video_popup_bonus,标记海星,2,1.28,绿币
1.16254E+18,540000,0.56,ad_video_popup_bonus,标记海星,2,0.36,绿币
1.16342E+18,740000,0.31,ad_video_popup_bonus,标记海星,2,0.31,绿币
1.16346E+18,540000,1.15,ad_video_popup_bonus,礼物-在线奖励,1,0.95,绿币
1.16345E+18,600000,0.46,ad_video_popup_bonus,标记海星,1,0.46,绿币
1.16331E+18,5540000,1.18,ad_video_popup_bonus,任务奖励,1,1.18,绿币
1.16334E+18,540000,0.2,ad_video_details_bingo,,1,20000,金币
1.16288E+18,740000,0.87,ad_video_starfish,,2,20000,金币
1.16342E+18,500000,0.1,ad_video_wild,,1,20000,金币
1.16304E+18,540000,0.78,ad_video_popup_bonus,任务奖励,1,0.68,绿币
1.1628E+18,1140000,1.48,ad_video_cashgame_num,,0,1.48,绿币
1.16346E+18,540000,1.07,ad_video_popup_bonus,标记海星,2,0.97,绿币
1.16289E+18,1040000,1.53,ad_video_wild,,2,1.53,绿币
1.16292E+18,215000,0,ad_video_wild,,1,-40000,金币
1.16356E+18,540000,1.41,ad_video_starfish,,1,20000,金币
1.16361E+18,650000,1.92,ad_video_details_powerup,,2,1.42,绿币
1.16357E+18,180000,1.22,ad_video_wild,,2,1.02,绿币
1.16355E+18,680000,0,ad_video_wild,,1,400000,金币
1.16355E+18,940000,1.4,ad_video_cashgame_num,,2,0.92,绿币
1.16399E+18,740000,1.3,ad_video_popup_bonus,礼物-在线奖励,1,1.3,绿币
1.16407E+18,740000,1.03,ad_video_wild,,2,1.03,绿币
1.16418E+18,640000,2.43,ad_video_popup_bonus,任务奖励,1,2.43,绿币
1.16489E+18,740000,1.37,ad_video_popup_bonus,标记海星,2,1.37,绿币
1.16451E+18,540000,1.17,ad_video_starfish,,2,0.43,绿币
1.16488E+18,180000,2.36,ad_video_wild,,2,2.26,绿币
1.16493E+18,843000,2.29,ad_video_wild,,2,2.29,绿币
1.16418E+18,280000,1.96,ad_video_wild,,2,1.96,绿币
1.16417E+18,1140000,5.94,ad_video_details_powerup,,1,3.18,绿币
1.16322E+18,940000,2.04,ad_video_popup_bonus,任务奖励,0,1.94,绿币
1.16418E+18,640000,3.15,ad_video_popup_bonus,任务奖励,1,3.15,绿币
1.16418E+18,743000,2.44,ad_video_popup_bonus,标记海星,2,2.44,绿币
1.16421E+18,740000,2.46,ad_video_popup_bonus,任务奖励,1,2.46,绿币
1.16414E+18,540000,3.15,ad_video_popup_bonus,标记海星,2,2.65,绿币
1.16414E+18,740000,1.57,ad_video_popup_bonus,标记海星,2,1.57,绿币
1.16415E+18,740000,1.16,ad_video_wild,,2,3.15,绿币
1.16414E+18,1040000,1.04,ad_video_popup_bonus,标记海星,2,1.04,绿币
1.16415E+18,640000,2.13,ad_video_cashgame_num,,2,2.13,绿币
1.16416E+18,540000,1.83,ad_video_starfish,,2,1.49,绿币
1.16407E+18,640000,2.69,ad_video_popup_bonus,标记海星,2,2.69,绿币
1.16413E+18,540000,3.08,ad_video_wild,,2,1.08,绿币
1.16408E+18,2540000,1.19,ad_video_popup_bonus,标记海星,2,1.19,绿币
1.16387E+18,540000,1.69,ad_video_popup_bonus,任务奖励,1,1.49,绿币
1.1631E+18,1040000,1.26,ad_video_popup_bonus,任务奖励,1,1.26,绿币
1.16415E+18,609000,2.3,ad_video_details_bingo,,3,1.34,绿币
1.1641E+18,540000,1.04,ad_video_starfish,,2,0.58,绿币
1.16343E+18,940000,1.43,ad_video_details_bingo,,0,1.33,绿币
1.16411E+18,540000,2.13,ad_video_wild,,2,1.93,绿币
1.16412E+18,740000,2.61,ad_video_popup_bonus,标记海星,2,2.61,绿币
1.16411E+18,740000,1.9,ad_video_popup_bonus,礼物-在线奖励,1,1.9,绿币
1.16334E+18,325000,1.44,ad_video_checkin_remedy,,0,1.34,绿币
1.16412E+18,2180000,1.57,ad_video_wild,,2,1.57,绿币
1.16395E+18,334000,2.71,ad_video_starfish,,1,1.4,绿币
1.16409E+18,740000,1.51,ad_video_popup_bonus,标记海星,2,1.51,绿币
1.16412E+18,740000,1.73,ad_video_starfish,,2,1.48,绿币
1.16401E+18,640000,0.67,ad_video_wild,,2,0.67,绿币
1.16409E+18,1440000,1.23,ad_video_cashgame_num,,2,1.04,绿币
1.16409E+18,540000,1.5,ad_video_popup_bonus,标记海星,2,1.3,绿币
1.16357E+18,1140000,1.26,ad_video_checkin_double,,0,1.26,绿币
1.16394E+18,460000,1.24,ad_video_wild,,3,20000,金币
1.16391E+18,1140000,4.52,ad_video_starfish,,3,400000,金币
1.16391E+18,155000,1.22,ad_video_popup_bonus,礼物-在线奖励,3,1.02,绿币
1.16395E+18,680000,1.68,ad_video_wild,,2,1.68,绿币
1.16396E+18,540000,1.17,ad_video_popup_bonus,任务奖励,1,1.07,绿币
1.16398E+18,540000,1.84,ad_video_popup_bonus,标记海星,2,1.74,绿币
1.16398E+18,2540000,0.29,ad_video_popup_bonus,标记海星,2,0.29,绿币
1.16395E+18,740000,0.47,ad_video_popup_bonus,标记海星,2,0.47,绿币
1.164E+18,1140000,2.39,ad_video_details_bingo,,2,2.09,绿币
1.1639E+18,540000,1.49,ad_video_popup_bonus,任务奖励,1,1.39,绿币
1.16397E+18,5540000,1.36,ad_video_popup_bonus,标记海星,2,1.36,绿币
1.16377E+18,1140000,1.1,ad_video_popup_bonus,礼物-在线奖励,1,1.1,绿币
1.16396E+18,540000,0.96,ad_video_popup_bonus,标记海星,2,0.76,绿币
1.16398E+18,180000,1.39,ad_video_wild,,2,1.29,绿币
1.16396E+18,540000,1.91,ad_video_starfish,,2,1.47,绿币
1.16394E+18,915000,1.57,ad_video_starfish,,3,0.82,绿币
1.16403E+18,640000,0.6,ad_video_wild,,2,0.6,绿币
1.16386E+18,540000,0.99,ad_video_popup_bonus,标记海星,1,0.49,绿币
1.16403E+18,1040000,0.89,ad_video_popup_bonus,标记海星,2,0.89,绿币
1.16399E+18,640000,0.69,ad_video_popup_bonus,标记海星,2,0.69,绿币
1.16401E+18,180000,2.42,ad_video_wild,,2,2.32,绿币
1.16385E+18,740000,1.03,ad_video_popup_bonus,标记海星,1,1.03,绿币
1.16387E+18,640000,0.96,ad_video_details_bingo,,1,0.96,绿币
1.16386E+18,1545000,0.55,ad_video_popup_bonus,任务奖励,2,0.55,绿币
1.16404E+18,740000,1.23,ad_video_popup_bonus,标记海星,2,1.23,绿币
1.16403E+18,1040000,1.45,ad_video_popup_bonus,任务奖励,1,1.45,绿币
1.16407E+18,540000,1.07,ad_video_wild,,2,0.97,绿币
1.16408E+18,540000,1.08,ad_video_popup_bonus,标记海星,2,0.88,绿币
1.16407E+18,180000,1.97,ad_video_wild,,2,1.47,绿币
1.16395E+18,180000,0.1,ad_video_wild,,1,20000,金币
1.16396E+18,740000,1.61,ad_video_popup_bonus,礼物-在线奖励,1,1.61,绿币
1.16342E+18,48000,9.34,ad_video_starfish,,4,3.1,绿币
1.16402E+18,980000,0,ad_video_wild,,2,-240000,金币
1.16382E+18,1933000,2.5,ad_video_popup_bonus,礼物-在线奖励,3,1.9,绿币
1.16388E+18,540000,0.84,ad_video_popup_bonus,标记海星,2,0.74,绿币
1.16384E+18,1040000,1.08,ad_video_popup_bonus,礼物-在线奖励,1,1.08,绿币
1.16268E+18,945000,6.71,ad_video_checkin_remedy,,0,20000,金币
1.16332E+18,540000,0.45,ad_video_starfish,,2,20000,金币
1.16388E+18,640000,1.97,ad_video_starfish,,2,1.73,绿币
1.16268E+18,640000,0.22,ad_video_wild,,2,0.22,绿币
1.16394E+18,1050000,1.58,ad_video_popup_bonus,礼物-在线奖励,2,1.48,绿币
1.16386E+18,640000,0.96,ad_video_popup_bonus,标记海星,2,0.86,绿币
1.16388E+18,640000,1.34,ad_video_popup_bonus,礼物-在线奖励,1,1.34,绿币
1.16389E+18,10540000,1.23,ad_video_popup_bonus,,2,1.23,绿币
1.16371E+18,725000,0.56,ad_video_popup_bonus,礼物-在线奖励,2,0.56,绿币
1.16373E+18,640000,0.79,ad_video_popup_bonus,礼物-在线奖励,1,0.79,绿币
1.16359E+18,1040000,0,ad_video_popup_bonus,任务奖励,0,20000,金币
1.16374E+18,180000,1.36,ad_video_wild,,2,1.16,绿币
1.16306E+18,540000,1.14,ad_video_popup_bonus,标记海星,2,1.04,绿币
1.16383E+18,540000,1.58,ad_video_gift_ad,,1,0.81,绿币
1.16384E+18,1140000,1.44,ad_video_cashgame_num,,1,1.44,绿币
1.16253E+18,1540000,0.26,ad_video_popup_bonus,标记海星,2,0.26,绿币
1.16384E+18,180000,2.82,ad_video_wild,,2,1.82,绿币
1.16385E+18,280000,0.38,ad_video_wild,,2,0.38,绿币
1.16432E+18,721000,3.23,ad_video_wild,,4,1.49,绿币
1.16449E+18,640000,2.16,ad_video_popup_bonus,标记海星,2,2.16,绿币
1.16264E+18,1040000,1.26,ad_video_popup_bonus,标记海星,2,1.26,绿币
1.16453E+18,540000,1.72,ad_video_popup_bonus,标记海星,2,1.52,绿币
1.16335E+18,640000,0.73,ad_video_popup_bonus,标记海星,2,0.73,绿币
1.16449E+18,1040000,0.99,ad_video_popup_bonus,标记海星,2,0.99,绿币
1.16451E+18,500000,3.01,ad_video_wild,,2,2.01,绿币
1.16442E+18,540000,1.78,ad_video_details_powerup,,1,1.68,绿币
1.16448E+18,640000,2.25,ad_video_starfish,,2,1.99,绿币
1.16448E+18,743000,1.43,ad_video_popup_bonus,礼物-在线奖励,1,1.43,绿币
1.16453E+18,280000,1.42,ad_video_wild,,2,1.42,绿币
1.16426E+18,780000,5.75,ad_video_starfish,,2,2.31,绿币
1.16455E+18,540000,2.42,ad_video_popup_bonus,标记海星,2,2.32,绿币
1.16452E+18,743000,1.41,ad_video_gift_ad,,2,0.96,绿币
1.16449E+18,1040000,3.37,ad_video_popup_bonus,礼物-在线奖励,1,3.37,绿币
1.1645E+18,500000,2,ad_video_wild,,2,1.5,绿币
1.16415E+18,740000,0.53,ad_video_cashgame_num,,1,0.53,绿币
1.16449E+18,640000,1.44,ad_video_wild,,2,1.44,绿币
1.16451E+18,600000,3.79,ad_video_wild,,3,3.46,绿币
1.16261E+18,540000,2.58,ad_video_popup_bonus,标记海星,2,1.58,绿币
1.16437E+18,540000,2.39,ad_video_popup_bonus,任务奖励,1,1.39,绿币
1.16436E+18,740000,0.99,ad_video_popup_bonus,标记海星,2,0.99,绿币
1.16434E+18,540000,4.93,ad_video_popup_bonus,标记海星,2,4.43,绿币
1.16428E+18,740000,4.07,ad_video_popup_bonus,标记海星,2,4.07,绿币
1.16433E+18,540000,3.18,ad_video_cashgame_num,,0,20000,金币
1.16428E+18,1040000,1.06,ad_video_details_powerup,,1,1.06,绿币
1.16438E+18,1040000,2.64,ad_video_wild,,2,2.64,绿币
1.16419E+18,640000,2.04,ad_video_details_powerup,,1,2.04,绿币
1.16427E+18,843000,1.42,ad_video_popup_bonus,礼物-在线奖励,1,1.42,绿币
1.16427E+18,540000,1.98,ad_video_popup_bonus,任务奖励,1,1.78,绿币
1.16428E+18,1040000,0.96,ad_video_details_bingo,,1,0.96,绿币
1.16428E+18,540000,0,ad_video_popup_bonus,礼物-在线奖励,0,20000,金币
1.16428E+18,640000,1.46,ad_video_popup_bonus,礼物-在线奖励,1,1.36,绿币
1.16428E+18,540000,0.69,ad_video_popup_bonus,标记海星,2,0.59,绿币
1.16424E+18,540000,3.79,ad_video_popup_bonus,标记海星,2,3.69,绿币
1.16417E+18,540000,1.52,ad_video_popup_bonus,标记海星,2,1.32,绿币
1.16427E+18,600000,1.45,ad_video_wild,,2,1.45,绿币
1.16423E+18,2540000,0,ad_video_popup_bonus,标记海星,2,20000,金币
1.16429E+18,640000,2.48,ad_video_popup_bonus,标记海星,2,2.48,绿币
1.16334E+18,1540000,1.23,ad_video_starfish,,2,0.92,绿币
1.16424E+18,40000,0,ad_video_wild,,1,-240000,金币
1.16439E+18,640000,2.25,ad_video_popup_bonus,礼物-在线奖励,2,1.97,绿币
1.16439E+18,30000,2.31,ad_video_starfish,,1,1.35,绿币
1.16422E+18,540000,1.98,ad_video_popup_bonus,标记海星,2,1.88,绿币
1.16442E+18,180000,2.97,ad_video_details_powerup,,2,1.53,绿币
1.16427E+18,280000,0,ad_video_wild,,1,-240000,金币
1.16313E+18,333000,5.16,ad_video_starfish,,1,1.74,绿币
1.16442E+18,740000,2.5,ad_video_wild,,2,2.5,绿币
1.16434E+18,1040000,5.29,ad_video_starfish,,0,3.21,绿币
1.16439E+18,640000,1.42,ad_video_popup_bonus,礼物-在线奖励,1,1.42,绿币
1.16443E+18,280000,0.99,ad_video_wild,,2,0.99,绿币
1.16432E+18,540000,1.84,ad_video_popup_bonus,任务奖励,1,1.34,绿币
1.16433E+18,740000,1.99,ad_video_popup_bonus,标记海星,2,1.99,绿币
1.16431E+18,700000,1.58,ad_video_wild,,2,1.58,绿币
1.16432E+18,540000,3.03,ad_video_popup_bonus,任务奖励,1,1.03,绿币
1.16433E+18,290000,4.01,ad_video_cashgame_num,,3,2.43,绿币
1.16432E+18,280000,0,ad_video_wild,,1,-240000,金币
1.16432E+18,640000,4.19,ad_video_details_powerup,,1,4.19,绿币
1.16434E+18,5540000,1.29,ad_video_wild,,2,1.29,绿币
1.16428E+18,1040000,1.05,ad_video_popup_bonus,任务奖励,0,1.05,绿币
1.16434E+18,540000,2.21,ad_video_popup_bonus,标记海星,2,2.01,绿币
1.16431E+18,1040000,0.55,ad_video_popup_bonus,礼物-在线奖励,2,2.54,绿币
1.16448E+18,540000,3.01,ad_video_popup_bonus,任务奖励,1,2.91,绿币
1.16439E+18,540000,2.02,ad_video_checkin_double,,0,1.92,绿币
1.16448E+18,540000,1.44,ad_video_popup_bonus,标记海星,2,0.94,绿币
1.16447E+18,20000,1.44,ad_video_wild,,3,1.34,绿币
1.16432E+18,540000,3.13,ad_video_popup_bonus,标记海星,2,3.03,绿币
1.16434E+18,920000,0,ad_video_details_bingo,,0,400000,金币
1.16431E+18,640000,3.39,ad_video_popup_bonus,标记海星,2,3.39,绿币
1.16436E+18,640000,1.52,ad_video_popup_bonus,标记海星,2,1.52,绿币
1.16437E+18,640000,0.48,ad_video_popup_bonus,,2,0.48,绿币
1.16333E+18,640000,1.39,ad_video_details_bingo,,1,1.39,绿币
1.1643E+18,120000,2.69,ad_video_starfish,,4,1.36,绿币
1.16409E+18,1100000,1.96,ad_video_wild,,1,1.96,绿币
1.1641E+18,1040000,3.75,ad_video_starfish,,2,1.72,绿币
1.16424E+18,940000,2.18,ad_video_popup_bonus,礼物-在线奖励,1,1.98,绿币
1.16422E+18,690000,5.11,ad_video_popup_bonus,标记海星,1,2.12,绿币
1.1643E+18,120000,2.4,ad_video_popup_bonus,礼物-在线奖励,2,20000,金币
1.16413E+18,540000,2.38,ad_video_starfish,,1,2,绿币
1.16415E+18,640000,2.8,ad_video_popup_bonus,任务奖励,1,2.8,绿币
1.1642E+18,640000,1.03,ad_video_popup_bonus,标记海星,2,1.03,绿币
1.16419E+18,540000,1.49,ad_video_popup_bonus,标记海星,2,0.99,绿币
1.16417E+18,280000,0.2,ad_video_popup_bonus,任务奖励,2,20000,金币
1.1642E+18,540000,3.04,ad_video_popup_bonus,标记海星,2,2.54,绿币
1.16418E+18,540000,0.1,ad_video_starfish,,1,20000,金币
1.1641E+18,540000,2.25,ad_video_popup_bonus,任务奖励,1,1.25,绿币
1.16423E+18,540000,3.39,ad_video_popup_bonus,任务奖励,2,2.84,绿币
1.16415E+18,640000,3.11,ad_video_popup_bonus,礼物-在线奖励,1,3.11,绿币
1.16415E+18,2540000,0.98,ad_video_cashgame_num,,1,0.98,绿币
1.16414E+18,740000,1.71,ad_video_starfish,,0,1.45,绿币
1.16419E+18,540000,2.23,ad_video_popup_bonus,标记海星,2,2.03,绿币
1.16419E+18,540000,1.67,ad_video_popup_bonus,礼物-在线奖励,1,1.57,绿币
1.16424E+18,920000,0,ad_video_details_powerup,,0,400000,金币
1.16407E+18,40000,0,ad_video_wild,,1,-240000,金币
1.16426E+18,1140000,3.37,ad_video_popup_bonus,标记海星,2,3.37,绿币
1.1633E+18,640000,0.82,ad_video_checkin_double,,0,0.82,绿币
1.16279E+18,920000,0,ad_video_popup_bonus,任务奖励,1,400000,金币
1.1642E+18,1220000,0,ad_video_details_bingo,,1,-240000,金币
1.16309E+18,540000,2.07,ad_video_popup_bonus,,2,1.97,绿币
1.16345E+18,540000,2.42,ad_video_starfish,,2,1.97,绿币
1.16262E+18,540000,1.6,ad_video_popup_bonus,标记海星,2,1.4,绿币
1.16346E+18,640000,0.78,ad_video_popup_bonus,,2,0.78,绿币
1.16346E+18,940000,0.89,ad_video_popup_bonus,标记海星,3,400000,金币
1.16347E+18,540000,1.17,ad_video_popup_bonus,,2,1.07,绿币
1.16341E+18,640000,1.69,ad_video_popup_bonus,标记海星,2,1.69,绿币
1.16343E+18,540000,1.19,ad_video_wild,,2,0.99,绿币
1.16341E+18,540000,1.45,ad_video_popup_bonus,任务奖励,1,1.35,绿币
1.16341E+18,540000,1.46,ad_video_popup_bonus,标记海星,2,1.36,绿币
1.16344E+18,1540000,0.58,ad_video_popup_bonus,标记海星,2,0.58,绿币
1.16342E+18,1243000,2.67,ad_video_gift_ad,,1,2.67,绿币
1.16341E+18,540000,1.35,ad_video_popup_bonus,标记海星,2,0.85,绿币
1.16341E+18,740000,1.55,ad_video_starfish,,2,1.38,绿币
1.16344E+18,280000,0,ad_video_wild,,1,-240000,金币
1.16341E+18,1040000,1.1,ad_video_popup_bonus,标记海星,2,1.1,绿币
1.16342E+18,280000,0.79,ad_video_wild,,2,0.79,绿币
1.16306E+18,520000,0.66,ad_video_details_bingo,,3,0.66,绿币
1.16346E+18,2540000,1.61,ad_video_popup_bonus,标记海星,2,1.61,绿币
1.16342E+18,243000,3.4,ad_video_cashgame_num,,4,1.5,绿币
1.16341E+18,1940000,1.7,ad_video_starfish,,2,1.48,绿币
1.16332E+18,540000,2.48,ad_video_popup_bonus,标记海星,2,1.48,绿币
1.1633E+18,1043000,3.48,ad_video_starfish,,1,2.01,绿币
1.1633E+18,480000,0,ad_video_wild,,1,-40000,金币
1.1632E+18,640000,1.23,ad_video_popup_bonus,任务奖励,1,1.23,绿币
1.16318E+18,540000,1.39,ad_video_popup_bonus,礼物-在线奖励,1,1.29,绿币
1.1628E+18,740000,0.79,ad_video_cashgame_num,,1,0.79,绿币
1.16319E+18,540000,2,ad_video_popup_bonus,任务奖励,1,1,绿币
1.16338E+18,540000,1.31,ad_video_popup_bonus,礼物-在线奖励,1,1.11,绿币
1.16272E+18,740000,1.38,ad_video_details_bingo,,1,1.38,绿币
1.16336E+18,540000,0.7,ad_video_gift_ad,,0,20000,金币
1.1633E+18,640000,1.13,ad_video_popup_bonus,标记海星,2,1.13,绿币
1.16326E+18,1540000,1.64,ad_video_popup_bonus,标记海星,2,1.64,绿币
1.16329E+18,540000,1.81,ad_video_popup_bonus,标记海星,2,1.61,绿币
1.16329E+18,640000,1.58,ad_video_popup_bonus,标记海星,2,1.58,绿币
1.16329E+18,640000,0.22,ad_video_popup_bonus,标记海星,2,0.22,绿币
1.16323E+18,640000,0.78,ad_video_popup_bonus,礼物-在线奖励,1,0.78,绿币
1.16323E+18,650000,1.52,ad_video_details_bingo,,2,1.42,绿币
1.16271E+18,740000,1.94,ad_video_popup_bonus,礼物-在线奖励,2,1.76,绿币
1.16284E+18,540000,1.67,ad_video_gift_ad,,1,0.76,绿币
1.16323E+18,1875000,0.8,ad_video_popup_bonus,礼物-在线奖励,4,0.59,绿币
1.16304E+18,480000,0,ad_video_wild,,1,-40000,金币
1.16259E+18,540000,1.5,ad_video_popup_bonus,标记海星,2,1.4,绿币
1.16324E+18,280000,0,ad_video_wild,,1,-240000,金币
1.16324E+18,1040000,1.17,ad_video_starfish,,2,0.95,绿币
1.16303E+18,1540000,0.84,ad_video_popup_bonus,任务奖励,1,0.84,绿币
1.16264E+18,940000,0.99,ad_video_popup_bonus,任务奖励,1,0.79,绿币
1.163E+18,540000,0.79,ad_video_popup_bonus,礼物-在线奖励,1,0.69,绿币
1.16303E+18,180000,1.03,ad_video_wild,,2,0.93,绿币
1.16276E+18,640000,0.88,ad_video_popup_bonus,任务奖励,1,0.88,绿币
1.16249E+18,180000,1.48,ad_video_popup_bonus,标记海星,3,0.88,绿币
1.16287E+18,640000,1.4,ad_video_popup_bonus,任务奖励,1,1.4,绿币
1.1632E+18,1143000,0.51,ad_video_cashgame_num,,2,0.33,绿币
1.16306E+18,1040000,0,ad_video_popup_bonus,标记海星,2,20000,金币
1.16283E+18,1155000,1.3,ad_video_popup_bonus,任务奖励,3,1.04,绿币
1.16274E+18,640000,0.85,ad_video_popup_bonus,礼物-在线奖励,1,0.75,绿币
1.16316E+18,893000,1.98,ad_video_popup_bonus,任务奖励,2,1.47,绿币
1.16328E+18,1580000,2.54,ad_video_cashgame_num,,2,1.94,绿币
1.16329E+18,540000,1.47,ad_video_starfish,,2,1.18,绿币
1.16327E+18,640000,1.32,ad_video_popup_bonus,标记海星,2,1.32,绿币
1.16327E+18,180000,1.49,ad_video_wild,,2,1.39,绿币
1.16288E+18,433000,2.64,ad_video_popup_powerup,,4,2.04,绿币
1.16339E+18,740000,1.38,ad_video_starfish,,2,1.09,绿币
1.16297E+18,1540000,1.56,ad_video_popup_bonus,标记海星,2,1.56,绿币
1.16324E+18,180000,1.62,ad_video_wild,,2,1.52,绿币
1.16312E+18,540000,1.1,ad_video_popup_bonus,标记海星,2,1,绿币
1.16312E+18,1181000,2.95,ad_video_popup_bonus,标记海星,3,2.95,绿币
1.16314E+18,2540000,1.66,ad_video_popup_bonus,标记海星,2,1.66,绿币
1.16308E+18,280000,1.78,ad_video_popup_bonus,标记海星,3,1.68,绿币
1.16316E+18,33000,3.92,ad_video_popup_powerup,,5,4.15,绿币
1.16316E+18,840000,2.06,ad_video_popup_bonus,礼物-在线奖励,2,1.75,绿币
1.16309E+18,540000,1.53,ad_video_popup_bonus,标记海星,2,1.33,绿币
1.16278E+18,681000,0.51,ad_video_starfish,,3,0.51,绿币
1.16308E+18,680000,2.44,ad_video_popup_bonus,标记海星,3,0.86,绿币
1.16312E+18,540000,0.38,ad_video_starfish,,2,20000,金币
1.1631E+18,540000,0.37,ad_video_details_powerup,,1,0.27,绿币
1.16316E+18,740000,0.85,ad_video_popup_bonus,标记海星,2,0.85,绿币
1.16307E+18,540000,1.92,ad_video_starfish,,2,1.59,绿币
1.16272E+18,480000,0,ad_video_wild,,1,-40000,金币
1.16314E+18,740000,1.43,ad_video_popup_bonus,礼物-在线奖励,0,1.43,绿币
1.1631E+18,740000,0.12,ad_video_wild,,2,2.11,绿币
1.16463E+18,540000,3.84,ad_video_popup_bonus,标记海星,2,2.84,绿币
1.16465E+18,220000,2.88,ad_video_popup_bonus,礼物-在线奖励,3,1.88,绿币
1.16454E+18,540000,2.56,ad_video_popup_bonus,标记海星,2,2.36,绿币
1.16463E+18,540000,2.51,ad_video_popup_bonus,标记海星,2,2.01,绿币
1.16461E+18,540000,1.89,ad_video_details_powerup,,1,1.39,绿币
1.16466E+18,640000,2.77,ad_video_details_bingo,,2,2.37,绿币
1.16459E+18,640000,0.87,ad_video_popup_bonus,,1,0.87,绿币
1.16465E+18,290000,2.15,ad_video_starfish,,3,1.4,绿币
1.16468E+18,540000,1.59,ad_video_starfish,,2,0.95,绿币
1.16469E+18,540000,3.76,ad_video_popup_bonus,任务奖励,1,3.56,绿币
1.16468E+18,680000,1.88,ad_video_wild,,3,1.46,绿币
1.16469E+18,640000,2.39,ad_video_popup_bonus,标记海星,2,2.39,绿币
1.16469E+18,1540000,2.15,ad_video_popup_bonus,标记海星,2,2.15,绿币
1.16462E+18,640000,2,ad_video_popup_bonus,标记海星,2,20000,金币
1.16461E+18,640000,3.3,ad_video_details_powerup,,1,2.46,绿币
1.16475E+18,1133000,6.27,ad_video_cashgame_num,,3,4.19,绿币
1.16476E+18,60000,0.7,ad_video_wild,,3,20000,金币
1.16458E+18,540000,2.18,ad_video_popup_bonus,标记海星,2,1.98,绿币
1.1646E+18,540000,1.97,ad_video_popup_bonus,任务奖励,1,1.87,绿币
1.16459E+18,1081000,3.52,ad_video_starfish,,3,1.33,绿币
1.16461E+18,740000,1.48,ad_video_popup_bonus,标记海星,2,1.48,绿币
1.16461E+18,740000,1.49,ad_video_popup_bonus,标记海星,2,1.49,绿币
1.16458E+18,180000,3.77,ad_video_popup_bonus,礼物-在线奖励,2,2.57,绿币
1.16458E+18,740000,1.44,ad_video_popup_bonus,标记海星,2,1.44,绿币
1.16477E+18,640000,1.99,ad_video_popup_bonus,,2,1.99,绿币
1.16478E+18,1240000,2.76,ad_video_popup_bonus,任务奖励,0,2.08,绿币
1.16477E+18,640000,3.18,ad_video_starfish,,1,20000,金币
1.1648E+18,540000,0.62,ad_video_wild,,2,0.52,绿币
1.16477E+18,740000,1.95,ad_video_starfish,,0,1.64,绿币
1.16442E+18,30000,1.1,ad_video_popup_bonus,标记海星,2,0.4,绿币
1.16443E+18,740000,2.48,ad_video_popup_bonus,标记海星,2,2.48,绿币
1.16449E+18,940000,3.87,ad_video_popup_bonus,礼物-在线奖励,1,3.67,绿币
1.16451E+18,640000,1,ad_video_popup_bonus,标记海星,2,1,绿币
1.16444E+18,680000,0,ad_video_wild,,1,400000,金币
1.16436E+18,540000,1.05,ad_video_popup_bonus,任务奖励,1,0.95,绿币
1.16448E+18,540000,4.07,ad_video_popup_bonus,标记海星,2,2.07,绿币
1.16435E+18,280000,0,ad_video_wild,,1,-240000,金币
1.16475E+18,1040000,4.52,ad_video_popup_bonus,礼物-在线奖励,1,4.52,绿币
1.16475E+18,1540000,3.74,ad_video_starfish,,2,3.46,绿币
1.16413E+18,320000,7,ad_video_gift_ad,,1,1.65,绿币
1.16468E+18,640000,1.76,ad_video_starfish,,2,1.51,绿币
1.16469E+18,540000,1.47,ad_video_starfish,,2,1.03,绿币
1.16468E+18,180000,1,ad_video_wild,,2,0.5,绿币
1.1647E+18,680000,1.09,ad_video_wild,,2,1.09,绿币
1.16467E+18,940000,0.73,ad_video_starfish,,2,0.44,绿币
