$part_date,#user_id,金币余额,绿币余额,广告场景,ad_name,翻倍奖励原因,累计游戏次数,奖励金额,资源类型
2023/10/19,1.16408E+18,540000,1.53,通用翻倍奖励,ad_video_popup_bonus,任务奖励,1,1.43,绿币
2023/10/14,1.11195E+18,8455303,30.71,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,0,0,金币
2023/10/19,1.16488E+18,640000,1.79,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.79,绿币
2023/10/19,1.1595E+18,2810898,21.01,登录奖励恢复连续登录,ad_video_login_recovery,,0,0.71,绿币
2023/10/19,1.16487E+18,640000,0,bingo场次详情弹窗中看广告开启比赛,ad_video_details_bingo,,1,20000,金币
2023/10/14,1.16274E+18,9460000,3.66,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,4,2.66,绿币
2023/10/15,1.16338E+18,540000,2.8,bingo场次详情弹窗中获取10个道具,ad_video_details_powerup,,1,2.3,绿币
2023/10/13,1.14239E+18,5366000,1.92,bingo场次详情弹窗中获取10个道具,ad_video_details_powerup,,0,10000,金币
2023/10/18,1.16434E+18,540000,1.81,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,1,1.61,绿币
2023/10/20,1.1649E+18,540000,3.04,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,1,2.94,绿币
2023/10/20,1.16492E+18,740000,1.5,通用翻倍奖励,ad_video_popup_bonus,任务奖励,1,1.5,绿币
2023/10/20,1.16492E+18,843000,2.35,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,1,2.35,绿币
2023/10/20,1.16492E+18,180000,4.56,bingo额外wild技能广告,ad_video_wild,,2,4.46,绿币
2023/10/20,1.1649E+18,640000,1.52,看广告开启活动场次-海星之旅,ad_video_starfish,,2,1.31,绿币
2023/10/13,1.1606E+18,429372,1.41,bingo场次详情弹窗中获取10个道具,ad_video_details_powerup,,0,160000,金币
2023/10/13,1.14422E+18,104000,12,bingo场次中广告获取道具的弹窗,ad_video_popup_powerup,,1,-1.99,绿币
2023/10/15,1.15985E+18,178000,1.42,bingo额外wild技能广告,ad_video_wild,,1,0.51,绿币
2023/10/14,1.16283E+18,540000,1.37,bingo场次详情弹窗中获取10个道具,ad_video_details_powerup,,1,1.27,绿币
2023/10/15,1.16345E+18,540000,2.36,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.26,绿币
2023/10/15,1.16345E+18,640000,1.3,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.3,绿币
2023/10/15,1.16337E+18,740000,5.24,看广告开启活动场次-海星之旅,ad_video_starfish,,0,1.69,绿币
2023/10/15,1.16345E+18,1040000,1.75,看广告开启活动场次-海星之旅,ad_video_starfish,,1,20000,金币
2023/10/13,1.16203E+18,893000,5.97,bingo场次中广告获取道具的弹窗,ad_video_popup_powerup,,1,2.99,绿币
2023/10/14,1.16312E+18,640000,1.65,bingo场次详情弹窗中看广告开启比赛,ad_video_details_bingo,,1,1.65,绿币
2023/10/14,1.16286E+18,640000,1.3,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.3,绿币
2023/10/15,1.16341E+18,540000,1.3,看广告开启活动场次-海星之旅,ad_video_starfish,,2,0.98,绿币
2023/10/15,1.1634E+18,640000,1.51,cash game获得幸运数字,ad_video_cashgame_num,,1,0.94,绿币
2023/10/15,1.16328E+18,540000,0.88,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.78,绿币
2023/10/15,1.16329E+18,740000,0.56,bingo场次详情弹窗中看广告开启比赛,ad_video_details_bingo,,1,0.56,绿币
2023/10/13,1.15943E+18,8334690,40.41,通用翻倍奖励,ad_video_popup_bonus,魔豆场奖励,1,224999,金币
