user_id,当前角色个数,当前战斗力,可挑战关卡,等级,当前钻石,渠道,游戏次数,累计获取钻石,累计获取金币,累计角色抽卡,累计广告次数
1184249988318769152,3,83,3,6,982,Google Ads ACI,4.0,832.0,78002.0,2.0,null
1184250061115109382,3,265,5,11,3171,Unattributed,8.0,2621.0,405754.0,4.0,21.0
1184258905778171904,9,194,5,12,128,Google Ads ACI,11.0,2478.0,467842.0,14.0,null
1184264793716961280,3,61,2,2,701,Organic,3.0,951.0,26889.0,2.0,null
1184271253746233344,3,151,3,9,848,Organic,4.0,1788.0,237485.0,2.0,null
1184278121600258048,3,161,4,10,1246,Organic,8.0,1096.0,254777.0,4.0,3.0
1184288936940285952,9,428,6,12,413,Organic,9.0,3443.0,562345.0,17.0,27.0
1184289874962812928,3,227,3,9,1044,Apple Search Ads,6.0,1984.0,227859.0,2.0,1.0
1184293750835257344,2,61,2,2,121,Google Ads ACI,2.0,71.0,15191.0,1.0,null
1184294769916911616,3,136,3,9,1860,TT-Palmax,7.0,1460.0,186760.0,2.0,1.0
1184315403178872832,5,147,3,3,185,Organic,3.0,1285.0,30862.0,6.0,2.0
1184410573207515136,9,234,6,12,152,Google Ads ACI,10.0,2462.0,554685.0,14.0,2.0
1184453733317091328,4,312,5,11,2885,Unattributed,9.0,2335.0,421287.0,4.0,17.0
1184462650868772866,3,207,4,11,1202,Google Ads ACI,6.0,2022.0,287422.0,3.0,9.0
1184469620677939200,3,56,2,2,200,Google Ads ACI,3.0,450.0,1040.0,2.0,null
1184470267473174528,3,223,3,10,1868,Organic,4.0,1418.0,244886.0,3.0,2.0
1184473022233317376,4,254,5,11,63,Google Ads ACI,8.0,2138.0,364249.0,3.0,5.0
1184532860908871682,3,191,4,11,2230,Organic,5.0,1680.0,333748.0,2.0,3.0
1184538671332728832,3,61,2,2,206,Apple Search Ads,10.0,456.0,20871.0,2.0,null
1184547671386361856,6,394,7,10,1743,Unattributed,9.0,2633.0,426453.0,6.0,null
1184557117231603712,2,50,3,6,603,Unattributed,4.0,433.0,63471.0,1.0,3.0
1184573091825594370,15,429,3,7,952,Apple Search Ads,4.0,21652.0,78660.0,71.0,1.0
1184578532169224192,7,408,6,11,626,Organic,12.0,3076.0,435616.0,14.0,12.0
1184605427506089984,5,444,6,12,989,Organic,10.0,4359.0,800642.0,5.0,27.0
1184621960911396864,9,581,7,12,402,Google Ads ACI,13.0,4092.0,710928.0,16.0,38.0
1184624820466229256,2,61,2,2,161,Unattributed,3.0,111.0,15283.0,1.0,null
1184635110394171395,7,137,3,9,353,Google Ads ACI,3.0,1803.0,236755.0,8.0,null
1184638356957442049,3,83,3,7,1290,Organic,4.0,990.0,96390.0,2.0,null
1184644613026099200,2,61,2,3,198,Google Ads ACI,5.0,198.0,4080.0,1.0,null
1184666497167925250,6,292,5,9,66,Organic,5.0,2666.0,275605.0,14.0,3.0
1184688567956287488,4,609,8,11,2400,Unattributed,12.0,3930.0,652239.0,8.0,null
1184709799569264640,3,145,3,9,1090,Google Ads ACI,3.0,1020.0,174555.0,2.0,8.0
1184718592378150912,5,422,7,10,2943,Organic,21.0,3883.0,552944.0,6.0,7.0
1184722721733353472,2,20,1,2,480,Organic,2.0,430.0,null,1.0,null
1184739476803432448,2,59,3,7,320,Organic,3.0,20.0,77159.0,1.0,null
1184773047903596544,3,219,4,9,1237,Google Ads ACI,5.0,1437.0,203110.0,5.0,1.0
1184779607560167424,9,128,5,5,172,Organic,13.0,1522.0,103286.0,9.0,10.0
1184780620757217280,6,445,7,13,1638,Google Ads ACI,16.0,4080.0,821207.0,9.0,6.0
1184797445863780356,9,563,7,14,1306,Google Ads ACI,9.0,4356.0,789021.0,21.0,24.0
1184806694497030150,5,147,3,8,257,Organic,5.0,1107.0,112795.0,6.0,2.0
1184852569034338304,2,43,2,2,18,Google Ads ACI,4.0,18.0,3849.0,1.0,null
1184860798778880000,8,290,7,11,56,Unattributed,14.0,2866.0,538932.0,17.0,10.0
1184875419178901504,8,579,6,12,2426,Google Ads ACI,22.0,3543.0,750210.0,8.0,27.0
1184882085639233540,5,228,4,10,2611,Organic,8.0,2161.0,284402.0,6.0,null
1184887074038226944,7,259,4,10,49,Apple Search Ads,7.0,1999.0,256361.0,11.0,6.0
1184887642509029376,2,135,3,7,1057,Unattributed,5.0,807.0,118944.0,2.0,1.0
1184893979510972417,4,351,5,12,2901,Google Ads ACI,18.0,3201.0,464554.0,5.0,4.0
1184912144898990080,9,340,6,11,315,Organic,8.0,2815.0,407652.0,15.0,26.0
1184923844578652160,9,483,6,13,204,Organic,19.0,4634.0,660251.0,22.0,35.0
1184934419077537792,10,678,9,12,374,Organic,21.0,3844.0,672009.0,17.0,11.0
1184938016297193472,3,232,3,8,63,Organic,7.0,1353.0,172780.0,3.0,1.0
1184938334032506880,8,572,7,13,1866,Organic,15.0,4116.0,777999.0,16.0,null
1184947092594888704,8,552,6,14,599,Google Ads ACI,17.0,4089.0,891791.0,15.0,35.0
1184949310739980290,5,419,5,11,2475,Google Ads ACI,6.0,3665.0,431696.0,5.0,7.0
1184953359853948928,2,111,3,7,1220,Organic,3.0,920.0,93350.0,2.0,null
1184955884845928448,4,241,5,11,2586,Google Ads ACI,5.0,3426.0,413322.0,4.0,2.0
1184957658856169472,7,226,4,7,3044,Google Ads ACI,4.0,2744.0,196330.0,6.0,10.0
1184958132208545792,8,394,6,11,68,Google Ads ACI,15.0,2648.0,495728.0,14.0,10.0
1184964792771678208,2,201,3,9,2628,Organic,6.0,2278.0,293733.0,2.0,null
1184967296142024704,3,199,3,9,1620,Unattributed,7.0,1602.0,235936.0,2.0,4.0
1184975386761498624,4,191,3,8,298,Unattributed,16.0,1448.0,212410.0,7.0,8.0
1184981119037087744,6,216,6,10,249,Google Ads ACI,8.0,2199.0,335418.0,11.0,5.0
1184981275002281984,9,61,2,3,60,Organic,8.0,1260.0,42961.0,8.0,1.0
1184983506938236928,2,58,3,7,329,Google Ads ACI,3.0,79.0,63000.0,1.0,null
1184998128764329986,11,1130,6,15,2943,Organic,10.0,12793.0,977028.0,42.0,2.0
1184999957455712256,4,186,4,10,254,Google Ads ACI,9.0,2124.0,311290.0,3.0,11.0
1185001175011827712,3,97,3,2,174,Organic,2.0,724.0,3890.0,3.0,null
1185016988175437824,12,275,6,12,652,Organic,7.0,3162.0,506505.0,15.0,9.0
1185018134772322304,4,247,3,7,169,Google Ads ACI,6.0,1209.0,127037.0,3.0,3.0
1185026485304438784,5,146,5,9,243,Organic,6.0,2163.0,238336.0,7.0,1.0
1185057043002691584,8,288,6,12,550,Google Ads ACI,19.0,3500.0,536007.0,16.0,16.0
1185073792880218112,2,43,2,2,242,Unattributed,3.0,192.0,23181.0,1.0,null
1185075530647478272,7,516,8,11,1671,Google Ads ACI,15.0,4261.0,731389.0,12.0,null
1185097811222339586,6,845,8,13,844,Organic,12.0,4344.0,835809.0,8.0,null
1185149739583152128,9,404,8,13,1505,Unattributed,10.0,3835.0,705894.0,15.0,37.0
1185184678294859776,11,731,9,14,2676,Organic,24.0,4796.0,979746.0,18.0,46.0
1185188511196655616,3,141,3,9,1777,Organic,5.0,1377.0,208621.0,2.0,2.0
1185193511452942336,2,58,3,8,484,Google Ads ACI,2.0,134.0,106077.0,1.0,null
1185205462430126080,12,816,9,15,608,Organic,26.0,6398.0,1015989.0,26.0,37.0
1185208269241585664,9,328,6,11,660,Organic,8.0,3110.0,430855.0,15.0,3.0
1185234304632889344,2,68,3,3,150,Google Ads ACI,4.0,50.0,6870.0,1.0,null
1185236111203504128,12,1108,8,17,331,Google Ads ACI,42.0,6501.0,1732484.0,28.0,141.0
1185254982262198272,5,620,8,12,70,Organic,12.0,3290.0,740039.0,7.0,9.0
